epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.778,0.80456,1.79188,0.99041,0.84552,0.51854,0.87709,0.72705,0.68056,2.62073,0.93133,0.000657143,0.000657143,0.000657143
2,413.503,0.77635,1.0673,0.99227,0.96059,0.97895,0.9868,0.81068,0.68802,1.08035,0.98225,0.0012976,0.0012976,0.0012976
3,618.49,0.79079,0.85788,1.00244,0.98864,1,0.9901,0.78316,0.7531,0.96752,1.00987,0.00191165,0.00191165,0.00191165
4,823.609,0.76758,0.70026,0.98244,0.93174,0.95789,0.9867,0.79769,0.72757,0.79096,0.97379,0.0018812,0.0018812,0.0018812
5,1042.96,0.73001,0.56862,0.96878,0.99417,1,0.995,0.85036,0.63486,0.4747,0.93784,0.0018416,0.0018416,0.0018416
6,1262.59,0.72305,0.53228,0.95505,1,0.99987,0.995,0.85397,0.63818,0.81508,0.9441,0.001802,0.001802,0.001802
7,1480.73,0.70602,0.48416,0.96148,0.96747,1,0.98936,0.83379,0.67079,0.43354,0.96732,0.0017624,0.0017624,0.0017624
8,1699.33,0.70124,0.47355,0.96935,1,0.99803,0.995,0.85989,0.62738,0.50305,0.93279,0.0017228,0.0017228,0.0017228
9,1917.28,0.68046,0.45084,0.95251,0.99927,1,0.995,0.85447,0.63786,0.38449,0.94187,0.0016832,0.0016832,0.0016832
10,2135.61,0.68869,0.44257,0.95561,0.98586,1,0.995,0.87214,0.60705,0.38522,0.92294,0.0016436,0.0016436,0.0016436
11,2356.76,0.65183,0.41622,0.93489,0.99887,1,0.995,0.86031,0.58907,0.35314,0.92154,0.001604,0.001604,0.001604
12,2573.83,0.64392,0.40398,0.93251,0.99945,1,0.995,0.85249,0.59493,0.35397,0.92096,0.0015644,0.0015644,0.0015644
13,2791.69,0.6568,0.40484,0.9457,0.99936,1,0.995,0.84743,0.6223,0.36296,0.92412,0.0015248,0.0015248,0.0015248
14,3009.68,0.63573,0.38788,0.9319,0.9993,1,0.995,0.86638,0.57071,0.33223,0.91555,0.0014852,0.0014852,0.0014852
15,3228.63,0.64607,0.38399,0.93888,0.99974,1,0.995,0.85967,0.66948,0.34225,0.95466,0.0014456,0.0014456,0.0014456
16,3447.05,0.63414,0.38198,0.93631,0.99734,1,0.995,0.87303,0.58444,0.32135,0.92426,0.001406,0.001406,0.001406
17,3654.75,0.63551,0.37492,0.93397,0.99919,1,0.995,0.87548,0.56965,0.30698,0.91591,0.0013664,0.0013664,0.0013664
18,3859.82,0.6329,0.37396,0.92685,0.99936,1,0.995,0.88464,0.56779,0.30073,0.91083,0.0013268,0.0013268,0.0013268
